iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,0.12453308103459446,0.011074043170954447,0,1,0.001
1,0.15843337500700727,0.0827586192235716,0.008070544459987812,0,3,0.0018000000000000002
2,0.23360370798036456,0.052520048835778384,0.005604471724905369,0,4,0.0016200000000000001
3,0.30911129200831056,0.03864674817113002,0.0024249007804430854,0,5,0.001458
4,0.3847101260034833,0.03578415094406545,0.001157731981527141,0,6,0.0013122000000000001
5,0.45918004200211726,0.034961043639255215,0.0007426542230168763,0,7,0.00118098
6,0.5339717089955229,0.03456499217692966,0.000530311096052856,0,8,0.001062882
7,0.609609500010265,0.03433418031063943,0.0004007893371830587,0,9,0.0009565938
8,0.6848303340084385,0.03418582164154923,0.0003123246058293084,0,10,0.00086093442
9,0.7602711679937784,0.03408416909102066,0.0002521450991007048,0,11,0.000774840978
10,0.836417126993183,0.03401013770995671,0.0002091851906030059,0,12,0.0006973568802
11,0.9110890019801445,0.03395459905562867,0.00018407292904306773,0,13,0.0006276211921800001
12,0.9920971689862199,0.03391515970137329,0.00021256508924849117,0,14,0.0005648590729620001
13,1.2211242940102238,0.033900391559429456,0.00014130790149412365,0,17,0.0020334926626632004
14,1.2956651269923896,0.03389078182489356,0.00013548844785381603,0,18,0.0018301433963968804
15,1.3714341269806027,0.033880966378930885,0.00012973699243084273,0,19,0.0016471290567571925
16,1.4467153349833097,0.033870978526155296,0.0001239350292163819,0,20,0.0014824161510814734
17,1.522379876987543,0.03386086285957956,0.00011812607473451118,0,21,0.001334174535973326
18,1.6021674189832993,0.03385066290213965,0.0001123577454605482,0,22,0.0012007570823759936
19,1.681172626966145,0.03384041891409599,0.00010668083269825552,0,23,0.0010806813741383943
20,1.7559528769634198,0.03383016549749809,0.00010114890729344166,0,24,0.0009726132367245549
21,1.831262835970847,0.0338199289565099,9.581817533286827e-05,0,25,0.0008753519130520994
22,1.905817002960248,0.03380972436502834,9.074759568569167e-05,0,26,0.0007878167217468895
23,1.9799282529565971,0.03379955223574697,8.599914581181214e-05,0,27,0.0007090350495722005
24,2.055217377957888,0.03378939465702371,8.16379318242645e-05,0,28,0.0006381315446149805
25,2.129541961941868,0.03377921074902623,7.773142848390121e-05,0,29,0.0005743183901534824
26,2.205515545938397,0.03376893143853493,7.434736213372196e-05,0,30,0.0005168865511381342
27,2.2803177959285676,0.03375845401642511,7.155647271202121e-05,0,31,0.0004651978960243208
28,2.3553986289189197,0.03374764201797169,6.958988639393282e-05,0,32,0.00041867810642188874
29,2.431078920926666,0.033736430821750756,7.236121275512067e-05,0,33,0.0003768102957796999
30,2.5057467119186185,0.03372780241651496,0.00014485110535255436,0,34,0.0003391292662017299
31,2.804335670924047,0.03372264147685872,6.966833450225914e-05,0,38,0.0024417307166524553
32,2.880630045896396,0.03372073095496601,6.67029112608366e-05,0,39,0.0021975576449872096
33,2.955344420915935,0.03371870759784075,6.663506729297878e-05,0,40,0.001977801880488489
34,3.0304873789136764,0.03371646351241444,6.658362370904769e-05,0,41,0.00178002169243964
35,3.1062822119274642,0.03371397384094256,6.653791147371153e-05,0,42,0.0016020195231956761
36,3.1825913369248156,0.03371121120580647,6.649949104346915e-05,0,43,0.0014418175708761085
37,3.2577070449187886,0.0337081449705959,6.647031226000151e-05,0,44,0.0012976358137884976
38,3.332995669916272,0.033704740765516106,6.645315999281625e-05,0,45,0.0011678722324096479
39,3.408039586938685,0.03370095986045047,6.645260076893485e-05,0,46,0.0010510850091686832
40,3.4822534209524747,0.03369675825288726,6.64767234960853e-05,0,47,0.0009459765082518148
41,3.5570865879417397,0.033692085214370636,6.654008393313877e-05,0,48,0.0008513788574266333
42,3.632298212934984,0.03368688082523379,6.666833651302107e-05,0,49,0.00076624097168397
43,3.707417712925235,0.033681071674377845,6.690508980280936e-05,0,50,0.000689616874515573
44,3.7831504209316336,0.03367456332691236,6.732164367827485e-05,0,51,0.0006206551870640158
45,3.8581214209261816,0.03366722719096037,6.803066517462467e-05,0,52,0.0005585896683576142
46,3.9350147549121175,0.03365887764355692,6.920579301183369e-05,0,53,0.0005027307015218528
47,4.011898337921593,0.03364923180909305,7.111018814225663e-05,0,54,0.00045245763136966756
48,4.086673378915293,0.033637837712436225,7.413686040663275e-05,0,55,0.00040721186823270084
49,4.1621772119251546,0.03362394628582879,7.888671661433714e-05,0,56,0.00036649068140943075
50,4.237625461944845,0.0336063333156765,8.732497192523286e-05,0,57,0.0003298416132684877
51,4.312594294955488,0.033584581458765125,0.00013263327156928892,0,58,0.00029685745194163893
52,4.537466586945811,0.0335762563848119,0.00012728122206234025,0,61,0.0010686868269899003
53,4.612601836939575,0.033567097297240875,0.00013396853227150862,0,62,0.0009618181442909103
54,4.687221878935816,0.03355692578273834,0.0001544530425715589,0,63,0.0008656363298618193
55,4.83855246193707,0.033547566083178014,0.00011446375879648686,0,65,0.0015581453937512748
56,4.914233753923327,0.03353945891130906,0.00011425011340048292,0,66,0.0014023308543761473
57,4.989083128923085,0.03353008909297165,0.00011745865912308494,0,67,0.0012620977689385326
58,5.064854462922085,0.03351899349829305,0.00012165729854414176,0,68,0.0011358879920446794
59,5.140595920936903,0.03350571789010934,0.00012669013376309418,0,69,0.0010222991928402114
60,5.215754295932129,0.03348967571060686,0.0001326539534903809,0,70,0.0009200692735561903
61,5.290892795921536,0.033470086706936616,0.00013970169698427902,0,71,0.0008280623462005713
62,5.366416962933727,0.03344591543566267,0.00014808900940550137,0,72,0.0007452561115805142
63,5.4418326289451215,0.03341579254426684,0.0001585572864007437,0,73,0.0006707305004224627
64,5.516910503967665,0.0333779928062676,0.00017428274231250638,0,74,0.0006036574503802165
65,5.593086836975999,0.033331252234405806,0.0002116107116000621,0,75,0.0005432917053421948
66,5.667900586995529,0.0332853790294323,0.00035369380677818335,0,76,0.0004889625348079754
67,5.894342753017554,0.03324349181589659,0.00020519702766840325,0,79,0.0017602651253087113
68,5.9744009200367145,0.03321927295299668,0.0002106689619223928,0,80,0.0015842386127778402
69,6.056369337049546,0.033190842512099854,0.0002169228371708734,0,81,0.0014258147515000563
70,6.146197212074185,0.03315732388311227,0.0002236894317374913,0,82,0.0012832332763500506
71,6.226680462074,0.03311770002497205,0.00023089482157127308,0,83,0.0011549099487150455
72,6.310522545070853,0.033070785453321115,0.00023836340943222357,0,84,0.001039418953843541
73,6.40619642008096,0.0330152617513004,0.00024576316414833395,0,85,0.0009354770584591868
74,6.485815795080271,0.03294977454804402,0.00025262500301401593,0,86,0.0008419293526132682
75,6.565504253085237,0.03287307440390265,0.0002584384113113993,0,87,0.0007577364173519414
76,6.646169086074224,0.0327841701827525,0.00026271551971702496,0,88,0.0006819627756167473
77,6.730251086060889,0.03268249336250543,0.0002649909580621643,0,89,0.0006137664980550726
78,6.814722586073913,0.03256808500907881,0.0002648792845149913,0,90,0.0005523898482495653
79,6.897136836079881,0.032441722752649844,0.0002621523429981292,0,91,0.0004971508634246089
80,6.979073127091397,0.032305054045007865,0.00025746313094373945,0,92,0.00044743577708214797
81,7.062437211105134,0.03216218344093874,0.0002715948716441172,0,93,0.0004026921993739332
82,7.228409836126957,0.032100038650709546,0.00039441836914977477,0,95,0.0007248459588730797
83,7.471171294135274,0.03206440713642167,0.000243187413452828,0,98,0.002609445451943087
84,7.55273879415472,0.03204196878359493,0.00024021983599159812,0,99,0.0023485009067487784
85,7.635222294135019,0.03201750189864528,0.00023827827659870222,0,100,0.0021136508160739006
86,7.715609461127315,0.03199076253713149,0.00023612232146492959,0,101,0.0019022857344665107
87,7.794864169118227,0.03196160597954091,0.00023367160798763232,0,102,0.0017120571610198597
