iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,0.7899562960303691,0.01653349233993573,0,1,0.001,1e-16,0
1,1.0227530829997704,0.5878184324051663,0.01529427575409017,0,3,0.0009000000000000001,1e-16,0
2,1.521940040998743,0.5878184324051663,0.01529427575409017,0,4,0.0018000000000000002,1e-16,0
3,2.0233436249982333,0.5878184324051663,0.01529427575409017,0,5,0.0036000000000000003,1e-16,0
4,2.526062457998705,0.5878184324051663,0.01529427575409017,0,6,0.007200000000000001,1e-16,0
5,3.575209457998426,0.5700222923739152,0.017453412239323646,0,8,0.007200000000000001,0.00019115718275316656,1
6,4.080785998998181,0.5700222923739152,0.017453412239323646,0,9,0.014400000000000001,1e-16,0
7,5.1269316659982,0.5573488526105308,0.011778050586049667,0,11,0.014400000000000001,0.0002655395931273008,1
8,6.176489582998329,0.5454927015706031,0.010965429948082148,0,13,0.014400000000000001,0.0002655395931273008,2
9,7.2155279999969935,0.5305310624408826,0.010799656962221535,0,15,0.012960000000000001,1e-16,0
10,8.256897207997099,0.5225677878751837,0.010061757212734205,0,17,0.012960000000000001,0.0001081724397436179,1
11,9.308837082997343,0.5115912355474052,0.009836099179753827,0,19,0.012960000000000001,0.0001081724397436179,2
12,10.359720290996847,0.4976236101826307,0.009636463642393202,0,21,0.012960000000000001,0.0001081724397436179,3
13,11.398115956997572,0.4812374562719947,0.010079756100483468,0,23,0.011664,1e-16,0
14,12.446114998996563,0.4741411912688771,0.00950505745064745,0,25,0.011664,0.00014747520146040578,1
15,13.536220164996848,0.46468580815436183,0.009671260781735323,0,27,0.011664,0.00015998030253160821,2
16,14.618029164996187,0.4533504588032822,0.012754978385704663,0,29,0.010497600000000001,1e-16,0
17,15.70983337299549,0.44667163999653486,0.012724164311071201,0,31,0.010497600000000001,0.0002953699538082346,1
18,16.799705747996995,0.4440708665856376,0.02146642427020679,0,33,0.00944784,1e-16,0
19,17.32595191499786,0.4440708665856376,0.02146642427020679,0,34,0.01889568,1e-16,0
20,18.406224914997438,0.4315023680222062,0.008459363566062673,0,36,0.01889568,0.00038046833977983157,1
21,19.45854249799595,0.42634105829802715,0.008059831423987108,0,38,0.01889568,0.00038046833977983157,2
22,20.493814788995223,0.4196201100576513,0.007871802063549472,0,40,0.017006112,1e-16,0
23,21.539740163992974,0.41600982955012683,0.007777058028119471,0,42,0.017006112,2.8635247234230944e-05,1
24,22.587640663994534,0.41071176853776675,0.007679136432576498,0,44,0.017006112,3.840353691540842e-05,2
25,23.633312288995512,0.40382342926491643,0.007551403093287844,0,46,0.017006112,3.840353691540842e-05,3
26,24.678141871998378,0.3954772522274716,0.007397557232656096,0,48,0.017006112,3.840353691540842e-05,4
27,25.718953663999855,0.3858253846478751,0.007220148159567643,0,50,0.017006112,3.840353691540842e-05,5
28,26.759239038998203,0.3750336788405077,0.007021626766501022,0,52,0.017006112,3.840353691540842e-05,6
29,27.7901981219984,0.3632781025084217,0.00680618513313261,0,54,0.0153055008,1e-16,0
30,28.83365316399795,0.36026389634687733,0.0067522735034870884,0,56,0.0153055008,2.8282795555665935e-05,1
31,29.872412997996435,0.35582198892406003,0.006673935889970022,0,58,0.0153055008,2.8282795555665935e-05,2
32,30.912154539993935,0.35003596004246856,0.006571797367695024,0,60,0.0153055008,3.077061331894622e-05,3
33,31.94769399899087,0.3430094992248846,0.006448105719764327,0,62,0.0153055008,3.077061331894622e-05,4
34,32.98409837398867,0.3348620374560421,0.0063045916269098895,0,64,0.0153055008,3.163381440563746e-05,5
35,34.05382658198869,0.3257260469634132,0.006145246798190886,0,66,0.0153055008,3.163381440563746e-05,6
36,35.110122373989725,0.3157412120613965,0.005971817624816518,0,68,0.01377495072,1e-16,0
37,36.172050457989826,0.31316717060975846,0.005925069523004289,0,70,0.01377495072,2.011852519457633e-05,1
38,37.24103883299176,0.30937275281847426,0.005868093202778413,0,72,0.01377495072,3.326079691616326e-05,2
39,38.30472308299068,0.3044264898914338,0.005805576580489414,0,74,0.01377495072,3.326079691616326e-05,3
40,39.37029370799064,0.2984215644881784,0.005759309718587418,0,76,0.01377495072,4.51406582364246e-05,4
41,40.404608457989525,0.2914915863943599,0.005733081884047455,0,78,0.01377495072,4.51406582364246e-05,5
42,41.43123804099014,0.2838820124475289,0.00683888641509318,0,80,0.012397455648,1e-16,0
43,42.45771241599141,0.28157216084001424,0.0069740296909375065,0,82,0.012397455648,0.0002330829255366317,1
44,43.4883628329917,0.2792740304705224,0.008875254075725892,0,84,0.012397455648,0.0002837318278169913,2
45,43.986381624992646,0.2794437787254913,0.010817018552675264,0,85,0.024794911296,1e-16,0
46,45.01094474999263,0.27658507428395046,0.005307896632533383,0,87,0.024794911296,0.00037972899520968356,1
47,46.03926616699391,0.27489336530910763,0.005271632873693428,0,89,0.024794911296,0.00037972899520968356,2
48,47.06315662599445,0.27266185877803534,0.005229963012891518,0,91,0.024794911296,0.00037972899520968356,3
49,48.09105016799367,0.2699098962387498,0.005183674596394162,0,93,0.024794911296,0.00037972899520968356,4
50,49.100407376990916,0.2666595144008491,0.00512900076765147,0,95,0.0223154201664,1e-16,0
51,50.11817421099113,0.26548292160864806,0.005109336954271457,0,97,0.0223154201664,1.8383024622132465e-05,1
52,51.13741675299025,0.26373320269637485,0.005080093083969583,0,99,0.0223154201664,2.0308040886492474e-05,2
53,52.1511203779919,0.26142684421866347,0.005041526708062863,0,101,0.0223154201664,2.1256345666715725e-05,3
