iter,elapsed_time,obj,gradnorm,eval,grad
1,4.584393541997997,0.7131207957855686,0.014412856780092943,0,3
2,5.649525499997253,0.4589106061798073,0.031143560706574897,0,4
4,7.42392066600587,0.3984224878878946,0.020315210000918276,0,7
8,11.724797957998817,0.25820370410660226,0.018533658731661407,0,13
16,19.57927520800149,0.13116802735477665,0.008876047987892844,0,22
32,34.63684429200657,0.04590066716723758,0.007927543818995225,0,39
64,66.35578725000232,0.008281074744898843,0.002405465627347543,0,73
128,126.08610016600142,0.00047072787676640876,0.000988726037634789,0,138
256,249.99738624999736,4.009334718855496e-06,8.13608606694561e-05,0,271
512,494.9271971670023,5.461080288197513e-09,1.078279055937032e-06,0,538
