iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,1.0,2.0,0,1,1000.0
1,0.001338875008514151,0.9960040016,1.9959969603208918,0,2,900.0
2,0.0023867090058047324,0.9915822697384142,1.9915388066537505,0,3,810.0
3,0.0034186260163551196,0.9866918101238334,1.9865572741505566,0,4,729.0
4,0.004441835029865615,0.9812859467528381,1.9809774914766616,0,5,656.1
5,0.0054612100357189775,0.9753141765782718,1.9747177935157219,0,6,590.49
6,0.006627460039453581,0.9687220647669528,1.9676891305384676,0,7,531.441
7,0.0077015010319883,0.9614511987286068,1.9597939965286475,0,8,478.29690000000005
8,0.008746460036491044,0.9534392250837476,1.9509249029459794,0,9,430.4672100000001
9,0.00978437703452073,0.9446200005168092,1.9409625356255407,0,10,387.4204890000001
10,0.010813419037731364,0.934923894527313,1.9297738198108425,0,11,348.6784401000001
11,0.011839461032650433,0.9242782888778495,1.9172101596332893,0,12,313.8105960900001
12,0.012917169035063125,0.9126083244803255,1.9031061141023915,0,13,282.4295364810001
13,0.014151128038065508,0.8998379509315102,1.8872787447620278,0,14,254.18658283290011
14,0.015188253033556975,0.8858913359683561,1.8695278529184476,0,15,228.76792454961011
15,0.01622758603480179,0.8706946901933769,1.84963734085786,0,16,205.8911320946491
16,0.01725366903701797,0.8541785540541278,1.8273779862172792,0,17,185.3020188851842
17,0.018285711033968255,0.8362805758273323,1.8025119936055778,0,18,166.7718169966658
18,0.019318586026201956,0.816948777202566,1.7747997428881954,0,19,150.09463529699923
19,0.020344711025245488,0.7961452532282944,1.7440091323242608,0,20,135.0851717672993
20,0.021364211032050662,0.7738501841025858,1.709927758448011,0,21,121.57665459056938
21,0.022383419025572948,0.7500659499512217,1.672377846709198,0,22,109.41898913151245
22,0.023403460028930567,0.7248210449625364,1.6312333478352876,0,23,98.4770902183612
23,0.024440626031719148,0.6981734002670763,1.5864379846527923,0,24,88.62938119652507
24,0.02544783403573092,0.6702126694341749,1.5380223650740783,0,25,79.76644307687256
25,0.026452126039657742,0.6410610341655797,1.4861177367087657,0,26,71.78979876918531
26,0.027678043028572574,0.6108721744226029,1.4309637731388338,0,27,64.61081889226678
27,0.028821293017244898,0.5798282250086741,1.3729081580650575,0,28,58.1497370030401
