iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,1.0,2.0,0,0,0,2.5000000000000002e-08,4000.0,0.9999975
1,0.0012672089942498133,0.9990002500062503,1.9989999506253127,1,1,1,2.5000000000000002e-08,4000.0,0.9999975
2,0.002596333986730315,0.997003251678291,1.996999732448316,2,2,2,2.5000000000000002e-08,4000.0,0.9999975
3,0.0038391669804695994,0.9940135062890543,1.9939949633873262,3,3,3,2.5000000000000002e-08,4000.0,0.9999975
4,0.005065207980806008,0.9900375343375941,1.9899716103724727,4,4,4,2.5000000000000002e-08,4000.0,0.9999975
5,0.006270082987612113,0.9850839374384788,1.984901744570059,5,5,5,2.5000000000000002e-08,4000.0,0.9999975
6,0.007462040986865759,0.9791635243993493,1.9787434450095847,6,6,6,2.5000000000000002e-08,4000.0,0.9999975
7,0.008759748976444826,0.9722895138820171,1.9714471440501653,7,7,7,2.5000000000000002e-08,4000.0,0.9999975
8,0.010405331981019117,0.9644778104540749,1.962969376037701,8,8,8,2.5000000000000002e-08,4000.0,0.9999975
9,0.011636790979537182,0.9557473326469638,1.9532932589455703,9,9,9,2.5000000000000002e-08,4000.0,0.9999975
10,0.013002582971239462,0.9461203547488474,1.9424534541805498,10,10,10,2.5000000000000002e-08,4000.0,0.9999975
11,0.014224457976524718,0.9356228119979109,1.9305620981767215,11,11,11,2.5000000000000002e-08,4000.0,0.9999975
12,0.01549395798065234,0.9242845140891272,1.9178314540813273,12,12,12,2.5000000000000002e-08,4000.0,0.9999975
13,0.01684366597328335,0.9121392155424155,1.9045888493052618,13,13,13,2.5000000000000002e-08,4000.0,0.9999975
14,0.01822516597167123,0.8992245031139817,1.8912798246423856,14,14,14,2.5000000000000002e-08,4000.0,0.9999975
15,0.019546457973774523,0.8855814784315315,1.87845628466811,15,15,15,2.5000000000000002e-08,4000.0,0.9999975
16,0.020923332966049202,0.8712542359274943,1.866747794804079,16,16,16,2.5000000000000002e-08,4000.0,0.9999975
17,0.02231787495838944,0.8562891591088829,1.8568160294515046,17,17,17,2.5000000000000002e-08,4000.0,0.9999975
18,0.023708582957624458,0.8407340795093461,1.849294710125125,18,18,18,2.5000000000000002e-08,4000.0,0.9999975
19,0.024891457956982777,0.824637360015305,1.8447200053262032,19,19,19,2.5000000000000002e-08,4000.0,0.9999975
20,0.02605587495781947,0.8080469759400898,1.8434588716132723,20,20,20,2.5000000000000002e-08,4000.0,0.9999975
21,0.02756254095584154,0.791009672158117,1.8456445394850802,21,21,21,2.5000000000000002e-08,4000.0,0.9999975
22,0.028726082950015552,0.773570272271126,1.8511285875482568,22,22,22,2.5000000000000002e-08,4000.0,0.9999975
23,0.02987187495455146,0.7557712060596383,1.859457401305333,23,23,23,2.5000000000000002e-08,4000.0,0.9999975
24,0.031027332952362485,0.7376523046358959,1.8698774779117373,24,24,24,2.5000000000000002e-08,4000.0,0.9999975
25,0.03217154095182195,0.7192508894043373,1.8813698469095348,25,25,25,2.5000000000000002e-08,4000.0,0.9999975
26,0.0332972499600146,0.7006021523149977,1.8927099625935933,26,26,26,2.5000000000000002e-08,4000.0,0.9999975
27,0.03445912495953962,0.681739792856776,1.9025467088837749,27,27,27,2.5000000000000002e-08,4000.0,0.9999975
28,0.03597841695591342,0.6626968446070186,1.9094929836434835,28,28,28,2.5000000000000002e-08,4000.0,0.9999975
29,0.037152583958231844,0.6435065947574866,1.9122204344123386,29,29,29,2.5000000000000002e-08,4000.0,0.9999975
30,0.03839770895137917,0.6242034784956495,1.909551709253065,30,30,30,2.5000000000000002e-08,4000.0,0.9999975
31,0.03954970896302257,0.604823821270812,1.9005444890400138,31,31,31,2.5000000000000002e-08,4000.0,0.9999975
32,0.040694708965020254,0.5854063099032493,1.8845622503104846,32,32,32,2.5000000000000002e-08,4000.0,0.9999975
33,0.041823999970802106,0.5659921003128939,1.8613271385284154,33,33,33,2.5000000000000002e-08,4000.0,0.9999975
