iter,elapsed_time,obj,gradnorm,eval,grad,B,B0,iter_inner,K,inv_step,momentum
0,0,1.0,2.0,1,0,1e-09,100,0,15811,400.0,0.9999367544467966
1,0.0018187499954365194,0.9900250624999999,1.989956281554949,1,1,1e-09,100,1,15811,400.0,0.9999367544467966
2,0.0031182919919956475,0.9703291013579195,1.969371000870309,1,2,1e-09,100,2,15811,400.0,0.9999367544467966
3,0.0043792919896077365,0.9413946221979128,1.9370790611192858,1,3,1e-09,100,3,15811,400.0,0.9999367544467966
4,0.005510916991624981,0.9039755389736651,1.8925731011655096,1,4,1e-09,100,4,15811,400.0,0.9999367544467966
5,0.006623291992582381,0.8591132664722821,1.836889398516124,1,5,1e-09,100,5,15811,400.0,0.9999367544467966
6,0.007749791984679177,0.8081022787673308,1.7719639745665734,1,6,1e-09,100,6,15811,400.0,0.9999367544467966
7,0.009017124990350567,0.7524114449461644,1.699187451268946,1,7,1e-09,100,7,15811,400.0,0.9999367544467966
8,0.010781083998153917,0.6935807476735562,1.6181056752575018,1,8,1e-09,100,8,15811,400.0,0.9999367544467966
9,0.012183333994471468,0.6331202659401344,1.5262264017426719,1,9,1e-09,100,9,15811,400.0,0.9999367544467966
10,0.013322583996341564,0.5724347221803968,1.4208925375726826,1,10,1e-09,100,10,15811,400.0,0.9999367544467966
11,0.014439709004363976,0.512772516085325,1.3025479260638806,1,11,1e-09,100,11,15811,400.0,0.9999367544467966
12,0.015540916996542364,0.45518007932436644,1.1763074919032963,1,12,1e-09,100,12,15811,400.0,0.9999367544467966
13,0.016635042004054412,0.4004623854128548,1.0497417629989676,1,13,1e-09,100,13,15811,400.0,0.9999367544467966
14,0.017733708999003284,0.3491747860465982,0.9293318038265839,1,14,1e-09,100,14,15811,400.0,0.9999367544467966
15,0.019347374996868894,0.30165347485727195,0.8193668736038927,1,15,1e-09,100,15,15811,400.0,0.9999367544467966
16,0.020660875001340173,0.2580626415673635,0.7228912941296011,1,16,1e-09,100,16,15811,400.0,0.9999367544467966
17,0.02184816700173542,0.21843861183078722,0.6420456858559256,1,17,1e-09,100,17,15811,400.0,0.9999367544467966
18,0.022962292001466267,0.18272704698927233,0.5777997156872248,1,18,1e-09,100,18,15811,400.0,0.9999367544467966
19,0.02406966699345503,0.1508129105801455,0.5299542176616637,1,19,1e-09,100,19,15811,400.0,0.9999367544467966
20,0.02517916700162459,0.12254278408399585,0.4971446074971225,1,20,1e-09,100,20,15811,400.0,0.9999367544467966
21,0.0264860419993056,0.0977409918434098,0.47709131424046475,1,21,1e-09,100,21,15811,400.0,0.9999367544467966
22,0.027885957999387756,0.07622072769245297,0.4669368275674521,1,22,1e-09,100,22,15811,400.0,0.9999367544467966
23,0.02909558299870696,0.057791805325627534,0.46389560819257303,1,23,1e-09,100,23,15811,400.0,0.9999367544467966
24,0.030259207997005433,0.0422654939007104,0.46534879172734167,1,24,1e-09,100,24,15811,400.0,0.9999367544467966
25,0.031437416007975116,0.02945820044238102,0.4696474714753918,1,25,1e-09,100,25,15811,400.0,0.9999367544467966
26,0.032589623995590955,0.01919250920158999,0.47464419867521235,1,26,1e-09,100,26,15811,400.0,0.9999367544467966
27,0.03371095699549187,0.011300636390047171,0.48139779481622025,1,27,1e-09,100,27,15811,400.0,0.9999367544467966
28,0.03481162399111781,0.005618806986364439,0.48344638106334953,1,28,1e-09,100,28,15811,400.0,0.9999367544467966
29,0.035978081985376775,0.0020053178073384803,0.4989317407118219,1,29,1e-09,100,29,15811,400.0,0.9999367544467966
30,0.03715941599512007,0.0002847905092353802,0.4650148778643932,1,30,1e-09,100,30,15811,400.0,0.9999367544467966
31,0.038361540995538235,0.00044025073549425263,0.6087482445679633,1,31,1e-09,100,31,15811,400.0,0.9999367544467966
32,0.03948016600043047,0.0020029869413565526,0.06309273596426741,1,32,1e-09,100,32,15811,400.0,0.9999367544467966
33,0.040595416008727625,0.007865773034921896,2.405938709541811,1,33,1e-09,100,33,15811,400.0,0.9999367544467966
34,0.04172887401364278,0.03796650333784847,8.128127561805831,1,34,1e-09,100,34,15811,400.0,0.9999367544467966
35,0.04283724901324604,0.7287398195468863,40.66663115840602,1,35,1e-09,100,35,15811,400.0,0.9999367544467966
36,0.04395287400984671,14.697209358314336,211.22664314553091,1,36,1e-09,100,36,15811,400.0,0.9999367544467966
37,0.045058624004013836,288.5604282057987,348.3721512806588,1,37,1e-09,100,37,15811,400.0,0.9999367544467966
38,0.04616858200461138,881.3931105976885,2602.954185335635,1,38,1e-09,100,38,15811,400.0,0.9999367544467966
39,0.04750795700238086,1.0,2.0,2,39,1e-09,50.0,0,15811,400.0,0.9999367544467966
40,0.04862291501194704,0.9900250624999999,1.989956281554949,2,40,1e-09,50.0,1,15811,400.0,0.9999367544467966
41,0.04977770701225381,0.9703291013579195,1.969371000870309,2,41,1e-09,50.0,2,15811,400.0,0.9999367544467966
42,0.050875207016360946,0.9413946221979128,1.9370790611192858,2,42,1e-09,50.0,3,15811,400.0,0.9999367544467966
43,0.05197754001710564,0.9039755389736651,1.8925731011655096,2,43,1e-09,50.0,4,15811,400.0,0.9999367544467966
44,0.053071373025886714,0.8591132664722821,1.836889398516124,2,44,1e-09,50.0,5,15811,400.0,0.9999367544467966
45,0.05420124802913051,0.8081022787673308,1.7719639745665734,2,45,1e-09,50.0,6,15811,400.0,0.9999367544467966
46,0.055293832017923705,0.7524114449461644,1.699187451268946,2,46,1e-09,50.0,7,15811,400.0,0.9999367544467966
47,0.056384207025985233,0.6935807476735562,1.6181056752575018,2,47,1e-09,50.0,8,15811,400.0,0.9999367544467966
48,0.05746983202698175,0.6331202659401344,1.5262264017426719,2,48,1e-09,50.0,9,15811,400.0,0.9999367544467966
49,0.05857383202237543,0.5724347221803968,1.4208925375726826,2,49,1e-09,50.0,10,15811,400.0,0.9999367544467966
50,0.05966295702091884,0.512772516085325,1.3025479260638806,2,50,1e-09,50.0,11,15811,400.0,0.9999367544467966
51,0.06075133201375138,0.45518007932436644,1.1763074919032963,2,51,1e-09,50.0,12,15811,400.0,0.9999367544467966
52,0.06184108201705385,0.4004623854128548,1.0497417629989676,2,52,1e-09,50.0,13,15811,400.0,0.9999367544467966
53,0.06305791501654312,0.3491747860465982,0.9293318038265839,2,53,1e-09,50.0,14,15811,400.0,0.9999367544467966
54,0.06420674802211579,0.30165347485727195,0.8193668736038927,2,54,1e-09,50.0,15,15811,400.0,0.9999367544467966
55,0.06530395602749195,0.2580626415673635,0.7228912941296011,2,55,1e-09,50.0,16,15811,400.0,0.9999367544467966
56,0.0664172890392365,0.21843861183078722,0.6420456858559256,2,56,1e-09,50.0,17,15811,400.0,0.9999367544467966
57,0.06750537203333806,0.18272704698927233,0.5777997156872248,2,57,1e-09,50.0,18,15811,400.0,0.9999367544467966
58,0.06858874703175388,0.1508129105801455,0.5299542176616637,2,58,1e-09,50.0,19,15811,400.0,0.9999367544467966
59,0.06966853904305026,0.12254278408399585,0.4971446074971225,2,59,1e-09,50.0,20,15811,400.0,0.9999367544467966
60,0.07096670505416114,0.0977409918434098,0.47709131424046475,2,60,1e-09,50.0,21,15811,400.0,0.9999367544467966
61,0.07223966305900831,0.07622072769245297,0.4669368275674521,2,61,1e-09,50.0,22,15811,400.0,0.9999367544467966
62,0.07338699606771115,0.057791805325627534,0.46389560819257303,2,62,1e-09,50.0,23,15811,400.0,0.9999367544467966
63,0.07449253706727177,0.0422654939007104,0.46534879172734167,2,63,1e-09,50.0,24,15811,400.0,0.9999367544467966
64,0.07560082907730248,0.02945820044238102,0.4696474714753918,2,64,1e-09,50.0,25,15811,400.0,0.9999367544467966
65,0.07670257907011546,0.01919250920158999,0.47464419867521235,2,65,1e-09,50.0,26,15811,400.0,0.9999367544467966
66,0.07780312007525936,0.011300636390047171,0.48139779481622025,2,66,1e-09,50.0,27,15811,400.0,0.9999367544467966
67,0.07889470306690782,0.005618806986364439,0.48344638106334953,2,67,1e-09,50.0,28,15811,400.0,0.9999367544467966
68,0.08023053607030306,0.0020053178073384803,0.4989317407118219,2,68,1e-09,50.0,29,15811,400.0,0.9999367544467966
69,0.0814767450792715,0.0002847905092353802,0.4650148778643932,2,69,1e-09,50.0,30,15811,400.0,0.9999367544467966
70,0.08258645307796542,0.00044025073549425263,0.6087482445679633,2,70,1e-09,50.0,31,15811,400.0,0.9999367544467966
71,0.08371241207350977,0.0020029869413565526,0.06309273596426741,2,71,1e-09,50.0,32,15811,400.0,0.9999367544467966
72,0.0848036200623028,0.007865773034921896,2.405938709541811,2,72,1e-09,50.0,33,15811,400.0,0.9999367544467966
73,0.08589070406742394,0.03796650333784847,8.128127561805831,2,73,1e-09,50.0,34,15811,400.0,0.9999367544467966
74,0.08697370406298432,0.7287398195468863,40.66663115840602,2,74,1e-09,50.0,35,15811,400.0,0.9999367544467966
75,0.08812270405178424,14.697209358314336,211.22664314553091,2,75,1e-09,50.0,36,15811,400.0,0.9999367544467966
76,0.08935549604939297,288.5604282057987,348.3721512806588,2,76,1e-09,50.0,37,15811,400.0,0.9999367544467966
77,0.09059912104567047,881.3931105976885,2602.954185335635,2,77,1e-09,50.0,38,15811,400.0,0.9999367544467966
78,0.09192553805769421,1.0,2.0,3,78,1e-09,25.0,0,15811,400.0,0.9999367544467966
79,0.09301253805460874,0.9900250624999999,1.989956281554949,3,79,1e-09,25.0,1,15811,400.0,0.9999367544467966
80,0.09410587104503065,0.9703291013579195,1.969371000870309,3,80,1e-09,25.0,2,15811,400.0,0.9999367544467966
81,0.09518503803701606,0.9413946221979128,1.9370790611192858,3,81,1e-09,25.0,3,15811,400.0,0.9999367544467966
82,0.09626816303352825,0.9039755389736651,1.8925731011655096,3,82,1e-09,25.0,4,15811,400.0,0.9999367544467966
83,0.09745828802988399,0.8591132664722821,1.836889398516124,3,83,1e-09,25.0,5,15811,400.0,0.9999367544467966
84,0.098886455030879,0.8081022787673308,1.7719639745665734,3,84,1e-09,25.0,6,15811,400.0,0.9999367544467966
85,0.10005566403560806,0.7524114449461644,1.699187451268946,3,85,1e-09,25.0,7,15811,400.0,0.9999367544467966
86,0.101167956032441,0.6935807476735562,1.6181056752575018,3,86,1e-09,25.0,8,15811,400.0,0.9999367544467966
87,0.10227566503454,0.6331202659401344,1.5262264017426719,3,87,1e-09,25.0,9,15811,400.0,0.9999367544467966
88,0.10337724802957382,0.5724347221803968,1.4208925375726826,3,88,1e-09,25.0,10,15811,400.0,0.9999367544467966
89,0.10447554002166726,0.512772516085325,1.3025479260638806,3,89,1e-09,25.0,11,15811,400.0,0.9999367544467966
90,0.10563374801131431,0.45518007932436644,1.1763074919032963,3,90,1e-09,25.0,12,15811,400.0,0.9999367544467966
91,0.1068678730080137,0.4004623854128548,1.0497417629989676,3,91,1e-09,25.0,13,15811,400.0,0.9999367544467966
92,0.10804399799962994,0.3491747860465982,0.9293318038265839,3,92,1e-09,25.0,14,15811,400.0,0.9999367544467966
93,0.10914141499961261,0.30165347485727195,0.8193668736038927,3,93,1e-09,25.0,15,15811,400.0,0.9999367544467966
